"","X","runnum","noden","spreadern","ntwktype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","X.1","X","agents.n","links.n","links.used","spreaders.avglinks","links.mean.trust","links.mean.inst.trust","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","ambiv.mean.inst.trust","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","rej.mean.inst.trust","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","aa.mean.inst.trust","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","as.mean.inst.trust","believers.n","misinfo.avgexpose.n"
"11",11,11,125,1,"""scale-free""",25,1,25,25,500,"count turtles",11,125,124,100,2,22.4655502154124,76.094084405046,35,1.65714285714286,0,176.942857142857,0.065646619697439,0.00688361734272818,0.187138969195147,77.3188759549769,5,2.8,0,554.4,0.0998605536813835,0.0106271962780145,0.202198669624405,79.7650390898965,9,2.77777777777778,0,253,0.091225216584545,0.0111281659420863,0.192936846380584,77.1106573221485,76,1.98684210526316,0,306.210526315789,0.110800885354663,0.00797084102810085,0.192233490469165,75.1681418533913,69,0.808
"12",12,12,125,1,"""scale-free""",25,1,25,25,500,"count turtles",12,125,124,2,2,21.3313796573114,75.8541701792859,34,1.70588235294118,0,117.382352941176,0.0583442752633876,0.00708081012926827,0.2242971802312,77.1876875768327,6,2.33333333333333,0,300.833333333333,0.0524519660300077,0.00916714325010832,0.22887914903041,76.4095059474277,5,1.2,0,48.8,0.105377916815901,0.00501017068380118,0.246702448172575,67.2834529532469,80,2.125,0,267.1,0.0834136617125574,0.00848998428356528,0.229069069233704,75.7814449293454,1,0.024
"13",13,13,125,1,"""scale-free""",25,1,25,25,500,"count turtles",13,125,124,115,2,19.7514566347896,74.625954190531,32,2.5,0,511.21875,0.131553369746882,0.00982327607902347,0.174188565053387,75.4919430119136,7,2,0,239.857142857143,0.0422511173547724,0.00808591936194083,0.168040229019889,69.8445527329509,6,1.5,0,101.5,0.0356696689172122,0.00637544645998932,0.161988665007745,73.2351723878749,80,1.8125,0,259.3625,0.0758267250989964,0.00738501313972159,0.170787062062487,74.8022399247155,78,0.928
"14",14,14,125,1,"""scale-free""",25,1,25,25,500,"count turtles",14,125,124,98,1,20.223665292928,74.3815745014782,33,2.06060606060606,0,498.757575757576,0.132245623098543,0.00817145452928374,0.146859644326026,72.6563700905035,6,2.66666666666667,0,518.166666666667,0.0770853000791308,0.0103838218959555,0.148633666253194,73.3191211708769,4,2.75,0,587.75,0.228339202210665,0.01051368231612,0.15967967285219,86.1376591960646,82,1.86585365853659,0,308.841463414634,0.0724554604301095,0.00763395536455394,0.144992171636695,74.5801370230322,70,0.792
"15",15,15,125,1,"""scale-free""",25,1,25,25,500,"count turtles",15,125,124,120,1,18.5444637631413,73.1987746018821,34,2.20588235294118,0,336.441176470588,0.124602532687875,0.00885277404177929,0.193744700710434,74.2829695621945,9,1.44444444444444,0,54.3333333333333,0.0896903866741581,0.00614263581757437,0.187848708175032,71.3311224263609,7,2.57142857142857,0,603.142857142857,0.146029306553982,0.00974713178351881,0.183701039866521,74.8147708352142,75,1.89333333333333,0,250.293333333333,0.101240395845277,0.0076732271698227,0.187598077711659,72.7805648324919,79,0.968
"16",16,16,125,1,"""scale-free""",25,1,25,25,500,"count turtles",16,125,124,5,2,21.3470371572404,74.6643932562107,33,2.24242424242424,0,357.181818181818,0.0908276824944045,0.00891809607242483,0.199304905667015,77.2806946938578,6,3.5,0,839.666666666667,0.121887587318983,0.0128022054034837,0.217588712741588,72.6474946605745,5,1.2,0,24.6,0.0159957073466611,0.00551004769292994,0.166195122267142,74.2858755522264,81,1.81481481481481,0,203.62962962963,0.0733347964776004,0.00742394270030159,0.194337036867455,73.7712578568451,5,0.048
"17",17,17,125,1,"""scale-free""",25,1,25,25,500,"count turtles",17,125,124,123,2,19.7483360105919,75.5247293374774,34,2.11764705882353,0,408.441176470588,0.153702772073033,0.00836715181237262,0.162053088771276,77.7988407894163,9,1.11111111111111,0,13.6666666666667,0.0892494309977394,0.00500459192139601,0.148537515123802,76.8725106647617,6,1.33333333333333,0,41,0.0506510062736766,0.00592225942955367,0.146046309837198,71.5411960011399,76,2.07894736842105,0,370.552631578947,0.117879944450139,0.00835449940144006,0.161737791726791,74.6622474783529,82,0.992
"18",18,18,125,1,"""scale-free""",25,1,25,25,500,"count turtles",18,125,124,120,1,20.208132757183,74.2435215325393,33,2.54545454545455,0,453.848484848485,0.127509004106562,0.00998473569760949,0.194447673177692,74.2872812145861,6,1.33333333333333,0,80.5,0.111133889603036,0.00558355412525976,0.191811350486167,73.8659933772266,7,1.85714285714286,0,279,0.0702185688390395,0.00746855158231184,0.176661060694964,72.4565496150965,79,1.81012658227848,0,218.316455696203,0.0944485863556313,0.00740155109052082,0.188284724811353,74.4122544799626,82,0.968
"19",19,19,125,1,"""scale-free""",25,1,25,25,500,"count turtles",19,125,124,119,1,19.9015252843923,74.8489249313698,33,2.15151515151515,0,308.575757575758,0.0984140350612501,0.00859464945466126,0.184543648514147,73.2145935164266,5,1.6,0,121.8,0.06897450044195,0.00677707974571011,0.17410314445079,75.1666091976035,5,2,0,193,0.0335152513907147,0.00837534619527266,0.164944124899992,72.9724506392611,82,1.9390243902439,0,298.060975609756,0.107023841919319,0.00781237119867395,0.184691463656632,75.6016918438393,83,0.96
"20",20,20,125,1,"""scale-free""",25,1,25,25,500,"count turtles",20,125,124,62,1,21.8405348384979,74.1766022737493,32,2.03125,0,420.84375,0.0992003984730139,0.00803562424387168,0.186894815826041,71.398764787745,7,2.28571428571429,0,886.285714285714,0.152548090171143,0.00874048234331802,0.209464505074517,75.4590357167025,8,2.25,0,267.875,0.109059229753438,0.00883173742677899,0.202095938899457,75.1113912329072,78,1.91025641025641,0,179.102564102564,0.0717025458852909,0.00783362497921344,0.178975144732927,75.1052619375724,40,0.504
"21",21,21,125,1,"""scale-free""",25,1,25,25,500,"count turtles",21,125,124,98,3,18.5272247238561,76.5433970897454,33,1.6969696969697,0,211.424242424242,0.0562452234364968,0.00702556137369055,0.168731819955247,76.5354289868607,6,4,0,515.833333333333,0.182032786735852,0.0154173514449553,0.176630827970715,74.2295722468343,9,1.33333333333333,0,54.4444444444444,0.0425286180863487,0.00586900430685525,0.154234714710214,76.0129244274416,77,2.02597402597403,0,353.558441558442,0.0635207750256628,0.00808871853554263,0.179968799913409,76.7891133288805,71,0.792
"22",22,22,125,1,"""scale-free""",25,1,25,25,500,"count turtles",22,125,124,117,7,17.0716135703316,75.6942043692671,34,2.32352941176471,0,395.529411764706,0.0941612104709301,0.00912019161867218,0.210139043203788,74.7891825308042,4,2.25,0,239.75,0.0413478672456373,0.00904613090657239,0.196238556414753,82.6821777704625,9,1.22222222222222,0,66.5555555555556,0.0168127808074904,0.00535899282116706,0.178038828125309,71.6944668563447,78,1.91025641025641,0,231.307692307692,0.0645009610544578,0.00776279520446605,0.194582957834996,76.1918516323346,84,0.944
"23",23,23,125,1,"""scale-free""",25,1,25,25,500,"count turtles",23,125,124,117,2,24.1419023687297,74.4327781015832,32,2.03125,0,242.4375,0.119644369121033,0.00810932066257777,0.20988532571042,72.1378686852821,8,1.5,0,105.75,0.0554265337580203,0.00633149951179034,0.195084247857374,77.2407158278645,5,2.4,0,373.6,0.121990995628693,0.00953784002348962,0.219614576474853,76.388932851544,80,1.9875,0,271.675,0.0894384925357665,0.00802700678232175,0.198234895567244,74.947688423603,83,0.944
