"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"24",24,24,125,1,"""scale-free""",25,1,25,25,500,"count turtles",24,125,124,2,34,1.94117647058824,0,415.235294117647,0.125013046430422,0.0077997547902881,0.178118544447217,8,1.875,0,258,0.116380228723324,0.00743954423507746,0.177369443730611,6,2.5,0,241,0.110608811587892,0.0099487051027233,0.181321021671962,77,1.97402597402597,0,258.207792207792,0.101169713675389,0.00799480198224994,0.175356346255995,73,0.856
"25",25,25,125,1,"""scale-free""",25,1,25,25,500,"count turtles",25,125,124,1,32,1.90625,0,422.03125,0.0786279659320699,0.00758813724994122,0.1892121479599,8,1.375,0,149.75,0.00485566786620174,0.00581902696801258,0.171619172343185,8,3.125,0,743.375,0.141899393044873,0.0117423450522767,0.199294283131451,77,1.96103896103896,0,191.896103896104,0.0645708400009588,0.00800894327064372,0.183460364736474,81,0.952
"26",26,26,125,1,"""scale-free""",25,1,25,25,500,"count turtles",26,125,124,2,33,1.96969696969697,0,324.545454545455,0.12298665129058,0.00780082226009831,0.206654191328994,6,1.66666666666667,0,81.5,0.0425654622701132,0.00726203688221991,0.181007679639178,6,2,0,576,0.0783104052587443,0.00811622211617288,0.202940163101284,80,2.0125,0,234.4125,0.0814342610736419,0.00812879139282998,0.190972269653504,83,0.968
"27",27,27,125,1,"""scale-free""",25,1,25,25,500,"count turtles",27,125,124,1,36,2.36111111111111,0,339.111111111111,0.0914110450815042,0.00925140420794769,0.217737385804965,6,1.16666666666667,0,20.5,0.016228303180753,0.00527401871049711,0.176006699924128,7,2.71428571428571,0,329.285714285714,0.0805107590445833,0.0107083330512172,0.211626507138208,76,1.80263157894737,0,220.842105263158,0.0552554627722025,0.00737298690647868,0.205274177287163,82,0.992
"28",28,28,125,1,"""scale-free""",25,1,25,25,500,"count turtles",28,125,124,1,34,1.79411764705882,0,153.029411764706,0.0649112978473015,0.00744998615543515,0.167610168092128,7,2.28571428571429,0,286.285714285714,0.101845358826492,0.00914456328299744,0.185617271381334,6,2.16666666666667,0,504,0.109559962510751,0.00831522710199536,0.182704376019916,78,2.02564102564103,0,365.833333333333,0.0968016504662288,0.00811278416823398,0.17252975669989,74,0.864
"29",29,29,125,1,"""scale-free""",25,1,25,25,500,"count turtles",29,125,124,1,34,1.58823529411765,0,182.411764705882,0.0566465007402521,0.0065980963737308,0.164963848786882,5,2,0,547.8,0.0907472955976845,0.00773462252513406,0.180077642767571,6,1.5,0,61.5,0.0346773815488488,0.00644062350914749,0.163390797357257,80,2.1875,0,378.85,0.0792162551423349,0.00872934837015747,0.171781026510581,72,0.808
"30",30,30,125,1,"""scale-free""",25,1,25,25,500,"count turtles",30,125,124,1,33,1.81818181818182,0,233.393939393939,0.0543329059540536,0.00743052213190768,0.191202354594488,7,2.71428571428571,0,516.428571428571,0.066096499076236,0.0108602854801152,0.187576399718202,5,1.4,0,96.6,0.0668533667033888,0.00597224859548598,0.184197853193155,80,2.025,0,275.95,0.084551197906075,0.00811136910386012,0.197378257778788,64,0.736
"31",31,31,125,1,"""scale-free""",25,1,25,50,500,"count turtles",31,125,124,1,33,1.84848484848485,0,234.181818181818,0.118289930406233,0.0075309229609383,0.18219821050693,7,3,0,895.714285714286,0.183349130980865,0.0115054427952629,0.191118961586157,7,2.57142857142857,0,290.857142857143,0.154039196652992,0.0101990798203679,0.195289976167508,78,1.8974358974359,0,239.461538461538,0.122049382475407,0.00768651133307206,0.191240518034942,8,0.12
"32",32,32,125,1,"""scale-free""",25,1,25,50,500,"count turtles",32,125,124,1,32,1.65625,0,263.5625,0.0570652379170226,0.00683598508312026,0.192018337990659,6,1.5,0,81.6666666666667,0.0169477793310305,0.0065521682837636,0.17183411953003,4,1.25,0,30.75,0.0679393893647139,0.00532457905919626,0.204349400953714,83,2.18072289156627,0,300.66265060241,0.0682844161610716,0.00868237531808175,0.196653601870528,68,0.968
"33",33,33,125,1,"""scale-free""",25,1,25,50,500,"count turtles",33,125,124,1,32,2.03125,0,188.84375,0.0699574360853828,0.00835336537493643,0.178086451867767,8,1.75,0,91.75,0.0788971623307619,0.00740331008304272,0.178909157880238,7,1.28571428571429,0,35.1428571428571,0.10977849733429,0.00556721941644977,0.18456914334978,78,2.05128205128205,0,381.551282051282,0.0950963537889452,0.00813455501823775,0.182719077920791,68,0.952
"34",34,34,125,1,"""scale-free""",25,1,25,50,30,"count turtles",34,125,124,1,33,1.81818181818182,0,268.272727272727,0.0686092577512091,0.00745160875065209,0.17205596912954,5,1,0,0,0.0188446712527685,0.00436411049332078,0.165582469666166,8,1.375,0,46,0.0217186407808783,0.00605052657402091,0.15356340360789,79,2.17721518987342,0,380.215189873418,0.0713852072179031,0.00865660944518619,0.172300517178,74,1
"35",35,35,125,1,"""scale-free""",25,1,25,50,500,"count turtles",35,125,124,4,34,2.41176470588235,0,385.794117647059,0.0873242062961895,0.00957946347906925,0.164706726987808,6,2,0,591,0.0124480602217796,0.00801548186704035,0.16844703287832,6,1.83333333333333,0,122.166666666667,0.0291194112336844,0.00761625082948109,0.163471067699822,79,1.81012658227848,0,304.050632911392,0.0547129445912087,0.00734820057636097,0.160602386109568,52,0.704
