"","agents-n","links-n","spreaders-avglinks","ambiv-n","ambiv-avglinks","ambiv-cluster-coeff","ambiv-betweenness","ambiv-eigencent","ambiv-pgrank","ambiv-closeness","rej-n","rej-avglinks","rej-coeff","rej-betweenness","rej-eigencent","rej-pgrank","rej-closeness","aa-n","aa-avglinks","aa-coeff","aa-betweenness","aa-eigencent","aa-pgrank","aa-closeness","as-n","as-avglinks","as-coeff","as-betweenness","as-eigencent","as-pgrank","as-closeness","believers-n","misinfo-avgexpose-n"
"5608",1500,4488,8,423,5.99527186761229,0.00504504688901852,2740.26075767918,0.267621199975734,0.000668296321050458,0.214258469363425,75,5.81333333333333,0.0053015873015873,2587.2397916477,0.246934229933766,0.000653141895141895,0.213173386771728,54,6.05555555555556,0.0108906525573192,2730.13507211815,0.278981866399078,0.000670773720449647,0.215775783822472,948,5.98839662447257,0.00533864869307907,2778.19031775712,0.268778535591768,0.000666576312517769,0.21443535560624,707,2.25733333333333
"5609",1500,4497,6,415,5.88192771084337,0.00495471061736122,2611.35235555307,0.257780878996681,0.000657793953480701,0.213868817229522,51,5.49019607843137,0.00392156862745098,2043.77370322477,0.213317917083836,0.000640222462722463,0.211408217752666,84,5.91666666666667,0.00203136810279667,2746.49329468213,0.272084616457621,0.000656493573666193,0.215236949828155,950,6.08,0.00389061231166494,2847.82723876601,0.275751265948646,0.000672861793177583,0.21528137375598,739,2.19533333333333
"5610",1500,4493,6,404,5.9950495049505,0.00548471055896799,2791.38045319856,0.291693029081924,0.000669734652265594,0.213682884259089,74,5.93243243243243,0.00518018018018018,2585.47753131452,0.295925246255328,0.000660417226667227,0.2143637338752,95,6.04210526315789,0.00586466165413534,2778.67754014161,0.303262786888703,0.000670735009629747,0.21472784379102,927,5.98813376483279,0.00501983932404644,2757.11390860524,0.298988840880452,0.000665136461484898,0.214304831289185,737,2.16733333333333
"5611",1500,4493,6,423,5.90307328605201,0.00327165610853554,2580.11577254237,0.225827239260705,0.000662627872958842,0.213900118674817,54,5.85185185185185,0.00288065843621399,2390.80370135474,0.219892631472427,0.000659930856180856,0.213406901562076,94,6.12765957446809,0.00277777777777778,2882.5473292787,0.235185448125929,0.000684121166461592,0.215102735411527,929,6.02475780409042,0.00397066155946673,2831.52656554276,0.237798228341195,0.000667131059049788,0.215350467444482,296,2.68666666666667
"5612",1500,4494,6,407,6.03931203931204,0.00652530652530652,2837.43581929562,0.221290383593171,0.000670694932740388,0.214818762886041,77,6.03896103896104,0.00429491143776858,2896.24448624778,0.21566583475543,0.00067476578496059,0.213747466982191,70,6.12857142857143,0.0119727891156463,2913.89586394765,0.230558907506729,0.000671418564239993,0.215788985070067,946,5.95771670190275,0.0059520758780801,2693.51806091889,0.216028848866603,0.000663813813036858,0.214387274921278,267,2.70133333333333
"5613",1500,4491,7,399,5.83208020050125,0.003486711005508,2532.71288261552,0.237625656689163,0.000659081758536646,0.213614081787301,80,5.95,0.00180555555555556,2690.19079638561,0.257626064995356,0.00066021483030858,0.215263824853387,75,5.8,0.00451851851851852,2459.41579923251,0.253565087759074,0.000646083312983313,0.214125594207754,946,6.07188160676533,0.00383537064298164,2866.87643888279,0.261803916425446,0.000671923477919778,0.215381948084901,247,2.71333333333333
"5614",1500,4495,5,423,5.93853427895981,0.00474109552123736,2627.73359004805,0.256477619580604,0.000664865044551805,0.214358932625626,74,6.33783783783784,0.00613470613470613,3269.89451617105,0.293940210001601,0.000689833843583844,0.217079494656759,62,5.80645161290323,0.00576036866359447,2434.21922959689,0.240592762086633,0.000656055781136426,0.212803085193,941,6.00318809776833,0.00513975338629961,2781.71934641659,0.266048675929609,0.00066618174127207,0.214975156253732,246,2.70066666666667
"5615",1500,4494,5,376,5.99202127659574,0.00718411316815572,2783.30830090116,0.195097260907146,0.000663836770252994,0.214683679618841,100,5.8,0.00526190476190476,2558.2467277993,0.179999222494914,0.000652624557849558,0.213066767658501,66,5.96969696969697,0.00716690716690717,2773.82610503431,0.206442970799754,0.000655784121882607,0.214668026876109,958,6.01356993736952,0.0077514111960876,2775.27023293211,0.190033119630408,0.000669408398664661,0.213670770986431,265,2.65533333333333
"5616",1500,4498,6,390,5.95641025641026,0.00632090132090132,2671.96040325026,0.220653489178379,0.000664758617450925,0.213840022773934,65,6.12307692307692,0.0072039072039072,2973.12665380936,0.226853421950598,0.000684096661173584,0.2148883735176,73,5.98630136986301,0.00567514677103718,2825.73262756384,0.240287404720948,0.000664803553878896,0.215049644935396,972,6.00617283950617,0.00594371049617963,2768.47914446773,0.228776261349065,0.000666110458947392,0.21454508037629,290,2.67333333333333
"5617",1500,4494,5,443,5.97516930022573,0.00399154394639722,2748.92042940314,0.271338677046455,0.000665819950887672,0.214226784079099,70,5.84285714285714,0.00674603174603175,2407.94993086208,0.263247186595753,0.00065594252044252,0.213063401791101,64,5.8125,0.00159970238095238,2542.84910247341,0.262921698602215,0.00065129868250962,0.213217572340381,923,6.02383531960997,0.00459606001317811,2804.69817124136,0.275687671747857,0.000668951971446554,0.21436215180304,244,2.70933333333333
